Liked,Review,,
Poor,"WORST PASTAS EVER. The naga_pasta tasted good at the begining but not after having few bites. We asked for spice and they gave us a naga achar. yeah right not sauce, achar! ",,
Poor,worst meal ever. If you look at the meal & shake properly you'll understand the quality & quantity of it.,,
Poor,"I used to go to thirty three regularly...
But now their food quality has reached to its level low..
The Thai soup was so sour to taste n less with soup toppings.. price was 500 something with VAT.. ",,
Poor," below average,rice was tasteless, the meat was raw..This is what they serve for 240!! all of the ACs were switched off in this hot midday. When we asked to turn them on, every time they somehow ignored it, making some stupid excuses! ",,
Poor,".worst service ever!!! If anyone wants to experience it, plz talk to the waiters specially the fat woman at the counter!!! she has a zero knowledge about their food along with a damn care attitude, at least not suitable for this kind of service based business..",,
Satisfactory,"Mexican club sub : quite good it was, bt kinda dry.. amount of meat was so much 😍
quality was excellent and price was cheap too only 90 taka ",,
Satisfactory,Usually I didn't give review of any restaurants . But after visit this place I believe they must deserve a good review from me.best steak and pizza at baily road. Seafood also very tasty more than my expectations. Must visit place.,,
Poor,"This review is really going to be a bad review for this place. I usually like this place, the decoration-music-food all is good enough to attract food lovers, especially their chicken doner kebab. Today I went there few hours ago, ordered chicken doner kebab & chicken chowmien. While eating chowmein, I found out they served me a simple vegetables noodles with no chicken. I called the waiter & complained about it. They simply replaced the chowmein. I thought that might be better, but surprisingly same chowmein returned with 3/4 pieces of boneless fried chicken. I just finished my food and got out of that place, feeling humiliating. They don't know the difference between vegetables & chicken chowmein. I am not sure if I am the only person facing this situation over there, but never going to get back to that place again, I'd rather have street noodles, at least they don't lie or manipulate people like this",,
Poor,"Introducing u the worst pasta in town. Item:Chickn Naga Pasta (Baked)
Price:230+vat
Though it was a Naga pasta but its sawder was totally unbearable!! It's just burned my stomach, This amount of sawder is totally harmful for stomach. Spicy lover also should stay away from this one!!",,
Poor,"I had forbidden them to give me any leg pc..bt still they gave 1leg pc..when I complained them..They didn't even bother to reply..😠..which was very rude
The chicken looks gud bt taste was not so gud..outer thick coating with bbq sauce only...There was no spice inside..even it seemed little raw to me..very disappointed. ",,
Poor,Probably the worst food i ever tried. It might looks good but tastes aweful. I don't know why on earth people gave good review about their food. After seeing good reviews in foodbank we went there but it was a total loss. I would suggest people not to visit this place ever. If u want to waste your money and time then please visit this place. ,,
Poor,Bad bad bad service .. We ordered burgers waffles and warmers . They gave us the warmers (shake) 1st and its almost after 50min !!! Thn we were waiting for our main food (burger).. They again took 20min to giva that .. Now its turn for our waffles .. That took almost 15 to 20 min to serve ... We ordered 3 waffles but gave us 2 waffles 😒😒😒😒 . So disappointing,,
Satisfactory,"All the items were joss within too limited Price
Food:8.5/10",,
Poor," I didn't expect that i would have to give such worst review. Quality and Quantity - 0/10
Service -1/10.... Won't visit there next ever",,
Satisfactory,"the food was good.
good food test 9/10
best place 9/1
Tk-299/- low cost (tasty food). comeback next week please all food lovers try there buffet keep up buffet in Dhanmondi.",,
Poor,"Worst Mexican pizza I have ever tasted. It had 3 layer which is more like a sandwich.
Place :- American Blend, Bashundhara.
Taste :- 1/10 ( not eatable)
Service :- 2/10. They took more than an hour to serve.",,
Poor,"Believe me when I say this😡😡😡 ''WORST FOOD'' I have ever tasted and when I say worst I mean worst 😣😣😣
probably the food made me sick🤢🤢🤢
place-9/10
I don't even want to rate the food it just kills my apatite but for the sake of this review I would say a
food-1/10...
service-7/10",,
Poor,"Worst food I have ever tasted
Tasteless chicken and potato wedges almost burnt!
There was less salt in vegetable and very less amount for 2person
Rice was full of oil serving was bad as well behaviour !",,
Poor,"One of the worst pizzas in town! 😩😩
Taste: 2/10
Service: 6/10
Place 8/10",,
Satisfactory,The food was really good and the waiters were really nice. Was confused about if I could ask for any more steaks. But it turned out that you can ask for as much as you want. So don't make the same mistake! ,,
Poor,"Look at the pizza carefully u will understand the quality of it... -_-

Taste & quality: 2/10
Environment: 8-9/10
Service: 8-9/10

I really have no clue how come people rate this #worst pizza 8-9...",,
Poor,You eat this food at your own risk!!,,
Poor,"I ordered the Premium Crispy Chicken Club Sandwich however, when I arrived home to eat my meal it was not the Premium Crispy Chicken Club Sandwich. There was no bacon or cheese , they put way to much mayo on the sandwich. The sandwich did not look eatable, it actually looked disgusting.",,
Poor,This place is really bad. Stay away at all costs! I got a beef patty in my burger raw that is was stil gushing blood. Terrible!,,
Poor,The expectations aren't high for food. And they stayed there besides the fries.,,
Poor,Check your order before you drive off. Always missing something or messed up order. French fries are always Luke warm and old. One of the only location that serves you old fries when you specifically ask for FRESH fries. Shame on them.,,
Poor,one of the most horrible place i have ever visited. they are always out of something. fries are never hot. management is not friendly.,,
Poor,"This place is disgusting. I've gone twice. First time they gave me a burger that was dripping in grease. There was a grease puddle in the wrapper. Second time I went, cashier/manager gave me a raggedy bent ass cup and gave me a ton of attitude when I asked for another one. I think they serve old food as well.",,
Poor,Service is good but my muffin was shrunk and burnt as heck! I only came here cause I was on the 2nd floor of this building. Won't be coming back...,,
Satisfactory,"This restaurant had got quite good reviews so I choose Pasta Club Khilgaon today for their pasta which called ""Spaghetti Oven Baked Pasta"" surprisingly it was really delicious",,
Poor,"They seem to be pretty quick most of the time, but their fries are ALWAYS overcooked.",,
Poor,Stomach ache to go.,,
Poor,Horrible burger & fries here. Go to another location. This place is dirty.,,
Poor,Ordered the petite pastries and found a red hair stuck on one of my pastries. Disgusting. Beware!,,
Satisfactory,"If you want to get the best poutine in dhaka, you must go in any branch of Madchef, This menu is calledf shahi poutine. it is a must try item in madchef.",,
Satisfactory,"The environment as well as the pizza is justr wow, the ingridents were loaded with chicken, mushroom, my rating is 8.5/10. Best pizza in town",,
Satisfactory,"Best nachos....!!! 😋
Price:190tk.
Taste:10/10
Environment:10/10.
Behaviour:9/10.
So nachos lover try this nachos. !!! ",,
Satisfactory,"The iftar buffet at Olympia Palace was good, the food is tasty, though some of them didn't taste as usual to me as a regular customer there, such as the Chowmen, Chicken chilli onion and the chicken vegetable (lack of necessary ingrediants like chicken and over populated with big onion slices).",,
Satisfactory,Went to Platinum Club bd to apprehend their buffet offer A deal of 30+ items in 450 taka(inclusive of vat) is one heck of a great deal eh? 😏 Indeed it was one great menu. Loved this place.,,
Satisfactory,It was buy 2 get 1 free. The pasta peter pan i just awesome. A must try item in the dining lounge. Satisfied my hunger,,
Satisfactory,best basmoti rice kacchi in mirpur. And this was The foodies terminal. Amount of rice was huge and the price is also reasonable,,
Satisfactory,"Buy 1 get 1 offer running in comic cafe dhanmondi, Pasta was quite good and the environment is sporting",,
Satisfactory,"Positive Review 😍 Hello Mirpurians. One of the BEST Pasta i ever tasted, The name is Pasta Cleopetra",,
Satisfactory,"Next time any place I would go for a pizza is Pizzaburg with my eyes closed. The taste was quite good, the amount of cheese is huge",,
Satisfactory,Best deal in town 199taka only Peri peri tandoori bowl,,
Satisfactory,"Great set menu at a lower price, price is 190tk, Ratingt 9/10. Best place!",,
Satisfactory,"4 burger one pizza all at 399 taka., definitely worth it. I would come again for the burger",,
Satisfactory,"I am in love with Malaysian pastry heartthrob “SECRET RECIPE”
And they have opened their brunch in Bangladesh.
I had a visit today and I am simply amazed.
Well decorated ,well mannered stuffs and its a must visit for desert lovers.Their cakes are super soft ",,
Satisfactory,"Everyone should taste it once.Nice & Tasty...
Taste -10/10
Service -10/10
Place - 10/10
Price : 320 without vat.
Name: Chef Special Pasta",,
Satisfactory,We ordered three single kacchi platter of the Wedding Bananza section. Each cost 629 taka and we got more than enough for us 😀 The kacchi was so perfectly cooked; it really satisfied our relish.,,
Poor,"Negative Review!
Worst food! Don't try this at Cold Stone Creamery",,
Poor,"This is my 1st post on foodbank and I didn't expect that i would have to give such worst review. Iftar Platter - B (433tk), French fries (213tk)",,
Satisfactory,"Fire Breath ❤ New in the town ,Dear foodies who like to try some unique items have it 😊Great experience",,
Satisfactory,"Kamal's Biriyani. Test is so perfect, Price is also reasonable. Only 80tk",,
Poor,Tasty Treat Momo Price : 100 bdt (6 pcs)Rating: 5/10 Didn't understand what was the filling inside.The sauce was even worst. I found normal tomato catch-up better than the provided sauce.,,
Satisfactory,"I tried my first Japanese Ramen, all three was so tasty. Place Tokyo Kitchen, Gulshan 2, rd-51",,
Satisfactory,"Restaurant name: Cafe Domino, platter name: Arabian Kacchi, Taste:10/10
price:250tk.",,
Satisfactory,"Went to pabna today, tasted some sweets from paradise. In na word, GREAT, 370tk per kg",,
Satisfactory,"Item: Fried Rice with Chicken.

Price: 120tk.
Taste: 9/10
Service: 8/10",,
Satisfactory,"#peri peri chicken pizza 10""😍 taste :9.5
price :420/- try this if you are a true pizza fan",,
Poor,"Place Cafe de cold, The burger is worst, No cheese, The chicken is not well cooked. Worst service",,
Poor,New burgers of Takeout..just overrated.. overpriced & overfaltu! ,,
Satisfactory,"If u want to try some tasty, authentic and beautiful looking indian food must try this one. The great kabab factory",,
Satisfactory,It was some mouth watering food. I will give them some bonus point for the presentation.chotpoti in balti,,
Satisfactory,gajor ka halua in pressure cooker just wow.,,
Poor,Got hair in Dominos Pizza. Nothing to say,,
Satisfactory,"Item: Kacchi, Place Kolkata Kacchi Ghor, This is really tasty and mouthwatering",,
Satisfactory,"Been to this restaurant several times. their food quality is
usually good. Today's fried chicken was so so.",,
Satisfactory,"Went to the trendy Dominos Pizza, It was quite good to be honest. My rating would be 8/10",,
Satisfactory,"Ordered food from LunchboxBD. I'm surprised to see the amount and taste, Enough for one person",,
Satisfactory,Great experiencxe in Noyon Biriyani House. The space is so small but the food is much more delicious. amount of beef is sufficient,,
Satisfactory,"Good service and environment, The dining lounge is special for deep dish pizza. Must try. ",,
Poor,Worst experience in Motka Cha and Momo. The tea is worst at its best. Dont go there if you want to save your money,,
Satisfactory,"Positive review , Its Amigos Pizza and Restaurent. All the items including pizza pasta lacchi was great.",,
Satisfactory,"Positive review 🔥
One helluva lit stuff 💯
Heaven breath ice cream: 299/=
Rate- 9/10",,
Poor,Got hair in kacchi of The foodies terminal. Worst experience while having kacchi,,
Satisfactory,"Item- sea food salad
Price- 295
The price as well as taste was satisfying",,
Poor,"Place Pasta State Mirpur, he chowmein disappointed us. The taste was worse than hat we cook in home",,
Satisfactory,Tower Nachos!! Huge Nachos in Mirpur. Loaded with Mayo and CHeese. Taste 9.5/10,,
Satisfactory,"Place - Tong Ghor,Mohammadpur.,Each and every food was tasty enough.Wanna taste other teas soon as well. ",,
Satisfactory,"Modina Mistanno Vandar, Why nobody didnt suggeted me about this place ago! Oh I nLoved this place. Each and every sweets will you like.",,
Satisfactory,"place: mashawi cuisine restaurant & party center
never thought I will find ramen in banasree.and I was scared after ordering it.but this place surprised me totally. we tried two types of ramen.",,
Satisfactory,All biriyaani Lovers must try this place. Place: Kamal Biriyani. The taste service every thing was quite good!,,
Poor,"Tried Naga burgfer at chillox today! we wanted for some add ones, but those were missing when they serves us the burger",,
Poor,Dont order foods in Lunchefs. If you order in morning you will get the foofd in the evening,,
Satisfactory,It is very good place..Foods are really tasty.. environment is good enough.. we can see the view of lalbag kella from here..behavior of all the staff is good and prices are reasonable..,,
Poor,"I went there for a family dinner . Had the set menu with BBQ chicken and naan, and believe me when I tell you I was utterly disgusted to my core as I've never had BBQ chicken or rather any food in any restaurant that bad. The chicken was bland as hell, tasted like a boiled piece of rubber and almost smelled bad . I don't know if they were having a bad day or something, but the most painful thing was it took them more than 1:30 hours to serve that 'Horror in a plate' .My parents had other set menu items which also included BBQ chicken that tasted almost as bad as mine. Though the staff behavior was good it doesn't make up for the bad food and the long wait. I don't know if my experience was an accident on their part or not but it sure was horrific .",,
Poor,The worst food I ever experienced.. Soup was like steamed water ... And set menu rice chicken are taste less chicken contained heavy food colour.. Which can cause cancer..,,
Poor,Found hair in 2 of the food items and they replased both of it and gave 10% discount. But after coming home im feeling super sick and vomiting continuously. And my friends are feeling sick too Please be clean guys,,
Poor,Credit card machine doesnâ€™t work! I donâ€™t know how these guys think we will always carry cash! I will never come back.,,
Satisfactory,Place is really conjusted infact people lyk couples have to share their tables but food is amazing,,
Poor,The taste of pasta wasn't good.................-_-,,
Poor,"Service is horrible, If you consider the food quality according to price it is very worst for choosing. As my suggestion don't come here to waste your time and money.",,
Poor,Good for only photo not for food at all. They sell pad thai noodles but in their menu it is written as mixed chawmin. It is not acceptable. At mohammadpur most of the resturent did not charge any vat but they charge vat. Service is tooo slow. Food taste is not up to the mark according to price. Not recommended at all. Set menu taste is so bad that we can't finish it.,,
Poor,#Worst_experience_ever.. This place is not as well as their pictures.. Food quality is just horrible..I ordered #Spaghetti and they provided a dish of salty and disgusting things...I was vomiting after tasting that wretched dish.. And the smell was too bad.Just in a word it was worst.. After ordering chicken fry I observed it was also salty and not worthy for eating.. And their service was so poor..I asked one of them for changing the dish but they didn't.. One of them said 'à¦†à¦®à¦¿ à¦Ÿà§‡à¦¸à§à¦Ÿ à¦•à¦°à§‡ à¦¡à¦¿à¦¸ à¦Ÿà¦¾ à¦¸à¦¾à¦°à§à¦­ à¦•à¦°à§‡à¦›à¦¿'à¥¤ How lame!!! This place is not recommended at all....,,
Poor,"I had been there today for Iftar . The food was so cold,specially fried rice and salad was dry.Service person was not caring to the guest. very poor service. Management should concern about service.",,
Poor,"Food Taste and price are not smiler...those foods making cost is so cheap but they are charging high volume of price. Nothing smiler with south koriean bbq, just Branch deco and bbq logo is same like as original brand. sorry but wasn't happy with the quality..",,
Satisfactory,"Great service, very good food & atmosphere, bit pricey.",,
Poor,We ordered 3 of the meals of the offer and the food was basically tasteless! Bet they forgot to put salt and a lot of other spices. Overly expensive compared to the quantity and the taste was bad as well. Never going back again!,,
Poor,Ordered a chicken pizza that had no crust or dough .It was just a pancake.Terrible service.Not going back again. @Urmil Rehman.,,
Poor,interior khassi na food khassi. pls give the picture of original food what u served to the customer.,,
Poor,Came during rush hour and ordered for 5 people and the service was horrible at best. Got served with ice cold food and waited for it for at least 30 mins. Rubbish. And the managers were damn care about it. Lesson learnt never visit this place when you see lots of cars parked outside!,,
Satisfactory,quite good .. superb decoration .. price is a little bit high .. but the food was really so good .. fresh and special to me .. (y),,
Satisfactory,Had the original BBQ Chicken and Honey Mustard Salad...Was amazing in taste and the environment is great too...Hats off bbq...,,
Poor,Food quality is not good as their price.ï¿½ Upgrade ur food quality firstï¿½,,
Poor,It's the worst .. price is too high where amount is very less... And the taste is salt less...,,
Poor,Worst behaviour. Worst management system. Bad experienced ever.,,
Poor,Poor food quality & worst service ever. The food were rotten also musty. The waiters were so late to serve food but very fast to take the bills. After serving food they were just wandering around us like when will we finish and leave the restaurant. bloody nonsense people and cheap quality foods though price were very high!. I will never ever go there.,,
Poor,worst food ever -__- soup ta ato baaje..chicken ta motamoti,,
Satisfactory,It's a good restaurant in this area. This is third time I visited this restaurant. I like it.,,
Poor,A very disgusting environment filled with creeps. The staff doesn't do anything about it. Not a safe place for women. Shit momos.,,
Poor,This place hosts potential rapists and eve teasers.,,
Poor,"1. Awful service. No one greeted or showed us where to sit. One of the waiters failed to fetch us a bottle of water. 2. The food is at best mediocre for the price. They are charging premium price. The service and the quality of the food should really be up to the mark. I'd be happy to change this review if they manage to improve. When you say ""from the founders of Tokyo Express"", it really is hard to cut them some slack.",,
Poor,Today i went there and i got the worst experience of my life. There behaviour is very unproffesional,,
Satisfactory,"The environment was good as well as the food, Tune & bite is rocking at the top as they could ï¿½",,
Poor,quantity was so less..and not enough good behaviour,,
Satisfactory,Loved the food. Something different and exceptional. But very difficult item on the menu to pronounce. :p,,
Poor,I ordered food using Pathao app. The restaurant calls me and say that price have changed and I have to pay about 250 taka more per items that I ordered. According to them the price did not get updated even though had changed the menu price. I agreed since didn't have much time to order again. Now the rib eye steaks that I ordered cost me 850 each. I received the items on time. The meat was not at all juicy and was so hard that I started to feel fatigue and pain i n my hand to cut. I couldn't finish it neither could my father. The price is excessively high and then you get something like this. I would have walked out if I was served it in the restaurant. The only thing that was good was the mashed potato tasted good.,,
Poor,"Eto faltu restuarent , jekhane kina booking deoar por tara kono sit reserve rakheni, bcz tara vulei gese sit reserve krte, jaihok er por ekta set menu dekhe aslm, thn bollo seta nai, tai mene nilam. erpor ashlo order korar pala, amra 4 jon silm r 3ta set menu order korlam ... now waiter eshe bolse apnara ekta duijon share krte parben na, 4jon manush 4ta order korte hbe, riti mis behave suru kre dilo ... then restuarent theke ber hoye gelam .... amr mne hoy unara nijer page e nijerai good review diye rakhse ....ï¿½ï¿½ï¿½ï¿½",,
Poor,Taste of chicken burger isn't good at all Price is too high -_-,,
Poor,The kebab i tried for the 1st time & my experience was horrible. The whole kebab item with rice was worst.when we complained about bad rice( very dried) they only laughed but no solution..,,
Satisfactory,Excellent place for fnf and of course the foods are yummy .... we love little korea... and thankz alot for your wonderful support...,,
Poor,Today i went there and i got the worst experience of my life. There behaviour is very unproffesional,,
Poor,Worst pasta they have Never go back there again,,
Poor,place is good bt their service is not good. we asked them to get us 2 normal plate and what they gave us 2 small plate. And price is high but quantity? very poor. now come taste? when u dont get well service plus expected food quantity then even good food feels like bad food. Taste 8/10,,
Satisfactory,"In khilgaon, there are very few places where we can bring our family. This place is the best one, also the food quality is good.",,
Satisfactory,Fresh Healthy Food. All for Tk.99.00 You just can't beat it..,,
Satisfactory,Because their service was so good.. And their food item was that much fresh and delicious......,,
Poor,3rd class food ever. Offer picture food is not given to me. Amount of the food quantity is low. Also offer price is 598 Taka. So it is a cheap trick to fool us. Food was rotten and it smells bad. Now comes to the service. Their service was extremely bad. Food took 1 hour to receive. Never going there again. Beware everyone don't waste your valuable time and money here.,,
Poor,Wrost experience ever. Visit with family members but their food makes by my mood very sad. Their service is poor. They took 1 hour to serve the food. Offer food quality is bad same goes to quantity. Ambience is good. Overall bad experience. I do not recommend this restaurant.,,
Poor,Faltu khabar. 1.5 hour por khabar ashcay. Service khubee bajay. Khabar er taste onek bajay. Taka nostow hoelow.,,
Satisfactory,I was going for ifter-dinner buffet. It's value for money... Each and every items was delicious and fresh. Waiters are too polite and well behaved. Ambience is nice and charming!!,,
Poor,The most worst kacchi i have in my life. No test on their rice and the piece mutton. Mutton piece are too small. Their behavior was rude with customer.,,
Poor,"Food was very bad, not a place to go, very bad experience sorry.",,
Satisfactory,I would love to rate this place with 5 stars. Food was excellent.The restaurant has nice ambience and provides good service. Probably one of the best restaurant in Dhanmondi. Will visit this place again Insha Allah,,
Poor,"service is very slow. ordered chicken nuggets and corn soup. the soup came after 20mins, it was super salty n I never had these much garlic in corn soup. as they were late so we asked them to parcel the nuggets and when we came home found out they delivered us with bbq wings. plus, the bill was miscalculated (they charged less then they supposed to) so we corrected them! a potential place with great negligence!",,
Poor,taste was good i must say but their price is extremely high!!!! behavior is not up to the mark. . .there were no soft drinks except their extremely pricey juice menu...service was very poor!!!!!,,
Poor,just a horrible place.... I'll not visit there anymore... food is average bt price is damn f**king high..... a rubbish restaurant...,,
Poor,Ekdm faltu khabar... Gola die namtesilo na khabar pore pani die gilsi... :/ ... Taka ar somoy duitai nosto hoise... Ar service etto late..... Purai ajaira ...,,
Poor,I have tried fried rice in many resturant but in sky view lounge I have tasted the worst fried rice ever . It tastes like is being cooked 2 days ago. I donâ€™t know how this sort of restaurant still exist ï¿½ï¿½ï¿½\,,
Poor,"I have ordered through foodpanda & the experience was worst! â€œBbq king platterâ€â€”Fried rice was like hard beans,& it was smelly,stale food.grilled veg was also from rotten veg,only bbq chicken was ok! Just wastage of money! Awful",,
Satisfactory,The ongoing buy 1 get one free is a very good offer. This place serves up to the standard Korean style chicken items along with some more good stuff. Highly recommend for chicken lovers.,,
Satisfactory,"I like the play zone for my little one, I wish their food quality (taste) and quantity should be improved",,
Poor,"We tried four different pizza.all tasted almost same.no salt,no spice,thin crust.the chef should learn how to make pizza.the kiwi chiller just had syrup and sprite in it.not a single piece of kiwi was there.tastes was also not upto the mark. Overall sucks.not coming again.",,
Poor,"I hv been there several times.. It was one of my favorite place in Khilgaon. But I must say its quality is deteriorating day by day.. U should keep in mind that the price of food should be adjusted according to the quality of the food, quantity of the food. At first u didnt take VAT. But now u take it. I hv no prblm giving it.. But do u realize the price it becomes?? Does it match with the food?? Today I had iftar there.. I m deeply disappointed with everything. I had Fried R...ice with three items.. It was the worst set meal I hv ever had. If i analyse it briefly i will say Food Quality- 2*, Quantity- 1* , Price-1* (300/-) (Excluding VAT). It becomes 345/- total (Without water, Soft drink) .. I just wanna say I love ur place.. Please adjust the price with the quantity.. And also U should watch out about the quality. Its really horrible.. Dont be blew away so early.. Im one of ur well wisher.. :) :)",,
Poor,"I hv been there several times.. It was one of my favorite place in Khilgaon. But I must say its quality is deteriorating day by day.. U should keep in mind that the price of food should be adjusted according to the quality of the food, quantity of the food. At first u didnt take VAT. But now u take it. I hv no prblm giving it.. But do u realize the price it becomes?? Does it match with the food?? Today I had iftar there.. I m deeply disappointed with everything. I had Fried R...ice with three items.. It was the worst set meal I hv ever had. If i analyse it briefly i will say Food Quality- 2*, Quantity- 1* , Price-1* (300/-) (Excluding VAT). It becomes 345/- total (Without water, Soft drink) .. I just wanna say I love ur place.. Please adjust the price with the quantity.. And also U should watch out about the quality. Its really horrible.. Dont be blew away so early.. Im one of ur well wisher.. :) :)",,
Poor,Um really disappointed when having their food.totally waste of time and money as well.environment is also not up to the standard,,
Poor,Most faltoo experience of food and excuses I ever had and heard... Food quantity is not sufficient even for single person...,,
Poor,Food quality ager theke onek baje... Service thik asche.. I think food quality next time valo hobe #bbq_gulshan,,
Poor,Went there two days after the Eid-ul-Azha. The food was not good at all. Specially the rice items were terrible. Their serving was very poor too. Overall - very poor service & food.,,
Poor,The worst F&B service I have ever experienced today. They deliver me like freezing food and even after complain they repeatedly change and deliver the same freezing food for three times. Totally screwed up for Gulshan 2 outlet. :(,,
Satisfactory,This is very good Place for family hangout.specially the play ground.and about food..It's really awesome &tasty.,,
Satisfactory,"The food was really good.We ordered a lot of food.And enjoyed almost all the items.My favorite was the mushroom soup. The Korean Charbroil Chicken had a better taste than the well-known Jamaican Grill.It had a smokey,tender and juicy flavor which is an absolute treat to your taste buds.Perfectly hot and spicy.Had a great time with my family!",,
Satisfactory,"I've been to bbq in gulshan 2 numerous times and on each occasion I've been thoroughly pleased. The atmosphere is nice, waiters friendly, tables clean and food delicious. Without going into too much detail, 2 dishes can universally be recommended here, the pane mushroom soup and the korean charbroiled chicken. Whether you've been to bbq already or it would be your first time, you won't be disappointed with those 2 items.",,
Satisfactory,"The food is amazing, loved the sitting arrangements & it has got the best mocha ï¿½ï¿½",,
Satisfactory,Albeit the place is named 'Little Korea' but it has some real big bang korean flavours ready to serve as you roll in to dine. Will surely pay my next visit soon.,,
Satisfactory,"Excellent place! Nice ambience,exquisite food followed up by live plugged music.A very good combination of food n music.Afterall food is music to the body,music is food to the heart.",,
Poor,"This place was a bad experience. The food was bad, the cold drinks tasted like it had water in them and the bottles were dirty, there was no electricity the whole time we were there. The electricity thing might have not been totally their fault but if they are running a restaurant business then they need to make arrangement for electricity generators for this kind of situation. U canâ€™t just have one fan. It was suffocating. Horrible place............",,
Poor,Buy1 get1 pasta serve krte 40mint lagbe bollo but pasta dilo 1 hour pore...ï¿½ï¿½ï¿½ I was literally starving at one point .. Uthe Ber hoa jete Mon chaise.. Faltu sitting arrangements... Wired.. ï¿½,,
Poor,"Worst service ever. Been waiting for an hour after ordering food. Apparently, they ran out of beef so someone went to buy beef from the supermarket.",,
Satisfactory,The Jazz Lovers platter definitely found a place in our favourite platter lists. The sauce on the steak was the cherry on the top and the whole combination definitely deserves a star. Although the Pasta khilgaon lacked a bit of flavours but the cheese and mushroom is still praiseworthy. Should definitely revisit for the platter.,,
Poor,dishonest people..order dite chaisi ek dish r dise onno ekta..shob cheye khrp dish ta dise...faltu,,
Poor,Taste of chicken burger isn't good at all Price is too high -_-,,
Poor,The kebab i tried for the 1st time & my experience was horrible. The whole kebab item with rice was worst.when we complained about bad rice( very dried) they only laughed but no solution..,,
Poor,Me and my friend ordered Chicken cheese blast burger..according to name there wasnâ€™t enough cheese..there were green spots in both of the bun..oil was coming out from the burger in every bite..according to price it wasnâ€™t fair at all..,,
Satisfactory,"Naga pasta awesome chilo... Taste 10/10 Price: valo kisu khete gele price doesn't matter, but price vat included thakle beshi khushi hotam..ï¿½ Suggestion: Chicken ektu beshi hole valo hoto. poriman e ektu kom chilo..ï¿½ Service :- 9/10 ( Ektu early service dewa doorkar) Over all shob thik chilo....ï¿½ï¿½",,
Satisfactory,"We tried the Americano pasta, it was really tasty And we got an offer too on this item! The environment was awesome and their behavior was nice as well.",,
Poor,"Worst service, worst waiters, worst food, worst manager & worst experience. Totally hell....",,
Poor,"Cloud Flame !! One of my brother suggested me that if you want to celebrate any type of program you will go ""Cloud Flame"". sound interesting"".... So I went there for a booking. All after done I asked them ""ami kichu advance kore jabo"" Cloud Flame: No need sir. So today at 1pm I called them to check is everything all right..?? Cloud flame asked me for what Sir.... I just literally shocked.. Ami bollam j amer akta booking chelo. tara bollo sorry sir place ta hocche for 20 person.So aita booked hoiye geche. then ami bollam :::: ami tohh bolsi j advance kichu diye jai bt tara bolse lagbe nahhh.... ""So asked them what should I do"" tara amk bole ""we are sorry sir"" I was silent and leave this place. Even though I call Mr. Sami the owner of ""Cloud Flame"" He has no manner at all.amk bole apner program ta front side a koren I mean the ""crowd place"".......ami bollam crowd place choose korle ""Ramna Park"" choose kortam. ""Cloud Flame"" they never think about the"" customer satisfaction"" They think about there business profit.",,
Poor,I cold drinks without ice cost 70.. r you guys kidding us??? Worst pizza ever -_-,,
Poor,900 taka per person is quiet expensive. Must deliver soup items.,,
Satisfactory,I just love it ..price ta r aktu reasonable hole daily jaitam..love their Hawaiian most,,
Satisfactory,First of all the decoration is quite admireable with stunning quite environment. The Arabian food are quite good not excellent. Behaviour and allotment are satisfying...,,
Poor,First of all is was too much overpriced for not a single good reason! Totally awful.Worst experience.Guys in a sense they are robber TBH!!! First and LASTTT!!!,,
Poor,"I've been here many times. And so far I can recall one day when I wanted the chicken shwarma and it was available. I tried the lamb shish or something similar named yesterday. It was the worst lamb I've ever tried, it was smelly and not cooked properly. I somehow managed to eat a piece or two but then I gave up. Only good thing is the hommous, but if you go there to have an authentic experience, then do yourself a favor and go someplace else.",,
Satisfactory,Food is good and fresh.. Salad price expensive considering side dish.. Co-worker service are well. I like the place ..,,
Satisfactory,Amazing foods Awesome ambience Beautiful selection of Arabic songs! U guys owe a 2nd visit soon. Keep up da good work.,,
Poor,I would like to draw attention of the owner of this restaurant that your staff quality is very poor and they don't know how behave with the customers. Service and commitment level is very poor and even food was not served as per their so called advertisement. Friends think twice to go there.,,
Poor,"Went there with wife, thought to pass some quality time with family. Found there was a meeting party going shouting like common dhaka fish market. When we realised the situation we wanted to cancel the order but restaurant forced us to pay but they can not control the environment and make it ok for gentle man. we are pissed off. I don't want to make comment about food as after feeling devastated with the shouting from the unpleasant meeting guys we took parcel and found the food taste like sh*t, even chicken was not properly fried.",,
Poor,Very disappointed with their behavior.... we around 51 people booked them for iftar. Took their highest price iftar menu but their food quantity is very poor. They were very unprofessional and rude in behavior. At the time of iftar they forgot to serve one item listed in the menu but we didn't shout just politely informed them. And it took so long to serve the rest item that we already had finished our iftar. After iftar we stayed and we ordered aprox 20 cup of coffeee and paid the bill of that extra coffee but still they were forcing us to leave their restaurant and we were surprised at their such unprofessional attitude. They might not have experience to handle a crowd or any party booking. CAUTION: PLEASE THINK BEFORE ARRANGING ANY GATHERING OR PARTY BOOKING HERE.,,
Poor,"Went all the way to eat grilled chicken and it was in the menu too, but they insisted that they don't keep grilled chicken in the CafÃ©. Then why is it included in the menu both online and the hard copy in the cafe?",,
Satisfactory,"Good food, good environment, good people. Though it takes time to serve the food, but I think it's because they prepare the food after placing order, not the preserved ones; so that's good as well. :-)",,
Poor,Shitty service ever. They kept me waited for half a hour and told me they can't serve. Total rubbish,,
